Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-01-28 - Sharks 0, Avalanche 3",46.983333333333,47.37,46.34,0.0,91.3,0.913,West
"2021-01-30 - Avalanche 5, Wild 1",43.433333333333,65.71,56.0,13.64,93.33,1.07,West
"2021-01-30 - Avalanche 5, Wild 1",43.433333333333,34.29,44.0,6.67,86.36,0.93,West
"2021-01-30 - Blues 6, Ducks 1",49.033333333333,48.68,41.86,5.0,80.77,0.858,West
"2021-01-30 - Blues 6, Ducks 1",49.033333333333,51.32,58.14,19.23,95.0,1.142,West
"2021-01-31 - Avalanche 3, Wild 4",45.233333333333,54.32,47.06,14.29,88.46,1.027,West
"2021-01-31 - Avalanche 3, Wild 4",45.233333333333,45.68,52.94,11.54,85.71,0.973,West
"2021-01-31 - Blues 4, Ducks 1",53.616666666667,53.76,53.19,0.0,84.21,0.842,West
"2021-01-31 - Blues 4, Ducks 1",53.616666666667,46.24,46.81,15.79,100.0,1.158,West
"2021-02-02 - Coyotes 3, Blues 4",45.25,46.67,37.14,5.56,85.0,0.906,West
"2021-02-02 - Coyotes 3, Blues 4",45.25,53.33,62.86,15.0,94.44,1.094,West
"2021-02-02 - Ducks 3, Kings 1",55.133333333333,73.86,77.55,5.0,93.33,0.983,West
"2021-02-02 - Ducks 3, Kings 1",55.133333333333,26.14,22.45,6.67,95.0,1.017,West
"2021-02-02 - Wild 1, Avalanche 2",47.433333333333,60.92,63.89,7.69,100.0,1.077,West
"2021-02-02 - Wild 1, Avalanche 2",47.433333333333,39.08,36.11,0.0,92.31,0.923,West
"2021-02-04 - Coyotes 4, Blues 3",43.683333333333,45.98,48.89,12.0,100.0,1.12,West
"2021-02-04 - Coyotes 4, Blues 3",43.683333333333,54.02,51.11,0.0,88.0,0.88,West
"2021-02-05 - Kings 2, Golden Knights 5",50.716666666667,51.72,36.59,3.85,83.33,0.872,West
"2021-02-05 - Kings 2, Golden Knights 5",50.716666666667,48.28,63.41,16.67,96.15,1.128,West
"2021-02-05 - Sharks 5, Ducks 4",49.983333333333,50.0,49.12,13.79,88.0,1.018,West
"2021-02-05 - Sharks 5, Ducks 4",49.983333333333,50.0,50.88,12.0,86.21,0.982,West
"2021-02-06 - Coyotes 3, Blues 1",40.7,43.1,44.0,8.33,93.75,1.021,West
"2021-02-06 - Coyotes 3, Blues 1",40.7,56.9,56.0,6.25,91.67,0.979,West
"2021-02-06 - Sharks 1, Ducks 2",47.266666666667,53.16,48.89,5.0,96.0,1.01,West
"2021-02-06 - Sharks 1, Ducks 2",47.266666666667,46.84,51.11,4.0,95.0,0.99,West
"2021-02-07 - Kings 3, Golden Knights 4",46.816666666667,45.88,45.24,15.0,88.89,1.039,West
"2021-02-07 - Kings 3, Golden Knights 4",46.816666666667,54.12,54.76,11.11,85.0,0.961,West
"2021-02-08 - Coyotes 4, Blues 3",48.733333333333,52.58,52.5,5.26,92.59,0.979,West
"2021-02-08 - Coyotes 4, Blues 3",48.733333333333,47.42,47.5,7.41,94.74,1.021,West
"2021-02-09 - Ducks 4, Golden Knights 5",52.0,49.44,51.06,15.0,80.0,0.95,West
"2021-02-09 - Ducks 4, Golden Knights 5",52.0,50.56,48.94,20.0,85.0,1.05,West
"2021-02-09 - Sharks 4, Kings 3",47.983333333333,43.24,42.86,10.53,94.44,1.05,West
"2021-02-09 - Sharks 4, Kings 3",47.983333333333,56.76,57.14,5.56,89.47,0.95,West
"2021-02-11 - Ducks 1, Golden Knights 0",50.916666666667,47.31,58.62,4.0,100.0,1.04,West
"2021-02-11 - Ducks 1, Golden Knights 0",50.916666666667,52.69,41.38,0.0,96.0,0.96,West
"2021-02-11 - Sharks 2, Kings 6",49.133333333333,42.22,51.35,12.5,96.0,1.085,West
"2021-02-11 - Sharks 2, Kings 6",49.133333333333,57.78,48.65,4.0,87.5,0.915,West
"2021-02-12 - Blues 4, Coyotes 1",48.6,48.72,35.29,5.26,95.45,1.007,West
"2021-02-12 - Blues 4, Coyotes 1",48.6,51.28,64.71,4.55,94.74,0.993,West
