Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-01-30 - Devils 3, Sabres 4",44.4,49.32,51.72,10.0,90.48,1.005,East
"2021-01-30 - Devils 3, Sabres 4",44.4,50.68,48.28,9.52,90.0,0.995,East
"2021-01-30 - Islanders 2, Flyers 3",49.533333333333,58.67,65.52,9.09,83.33,0.924,East
"2021-01-30 - Islanders 2, Flyers 3",49.533333333333,41.33,34.48,16.67,90.91,1.076,East
"2021-01-30 - Penguins 5, Rangers 4",44.45,41.86,33.33,9.09,86.67,0.958,East
"2021-01-30 - Penguins 5, Rangers 4",44.45,58.14,66.67,13.33,90.91,1.042,East
"2021-01-31 - Devils 5, Sabres 3",47.066666666667,43.75,36.36,4.35,88.24,0.926,East
"2021-01-31 - Devils 5, Sabres 3",47.066666666667,56.25,63.64,11.76,95.65,1.074,East
"2021-01-31 - Islanders 3, Flyers 4",44.516666666667,43.66,41.38,10.0,85.0,0.95,East
"2021-01-31 - Islanders 3, Flyers 4",44.516666666667,56.34,58.62,15.0,90.0,1.05,East
"2021-02-01 - Bruins 5, Capitals 3",43.783333333333,60.24,62.96,13.79,88.89,1.027,East
"2021-02-01 - Bruins 5, Capitals 3",43.783333333333,39.76,37.04,11.11,86.21,0.973,East
"2021-02-01 - Penguins 1, Rangers 3",35.733333333333,42.19,50.0,0.0,93.75,0.938,East
"2021-02-01 - Penguins 1, Rangers 3",35.733333333333,57.81,50.0,6.25,100.0,1.063,East
"2021-02-03 - Bruins 4, Flyers 3",50.883333333333,53.68,41.67,3.7,86.96,0.907,East
"2021-02-03 - Bruins 4, Flyers 3",50.883333333333,46.32,58.33,13.04,96.3,1.093,East
"2021-02-04 - Capitals 2, Rangers 4",42.2,45.88,48.84,12.5,92.31,1.048,East
"2021-02-04 - Capitals 2, Rangers 4",42.2,54.12,51.16,7.69,87.5,0.952,East
"2021-02-05 - Bruins 2, Flyers 1",47.866666666667,56.79,48.72,9.52,100.0,1.095,East
"2021-02-05 - Bruins 2, Flyers 1",47.866666666667,43.21,51.28,0.0,90.48,0.905,East
"2021-02-06 - Penguins 3, Islanders 4",52.95,44.0,41.51,13.64,89.66,1.033,East
"2021-02-06 - Penguins 3, Islanders 4",52.95,56.0,58.49,10.34,86.36,0.967,East
"2021-02-07 - Flyers 7, Capitals 4",50.966666666667,47.62,43.75,30.0,90.91,1.209,East
"2021-02-07 - Flyers 7, Capitals 4",50.966666666667,52.38,56.25,9.09,70.0,0.791,East
"2021-02-08 - Islanders 2, Rangers 0",52.566666666667,59.38,47.73,7.14,100.0,1.071,East
"2021-02-08 - Islanders 2, Rangers 0",52.566666666667,40.63,52.27,0.0,92.86,0.929,East
"2021-02-10 - Bruins 3, Rangers 2",51.666666666667,56.25,56.41,4.17,92.59,0.968,East
"2021-02-10 - Bruins 3, Rangers 2",51.666666666667,43.75,43.59,7.41,95.83,1.032,East
"2021-02-11 - Penguins 4, Islanders 3",55.666666666667,47.83,47.62,9.09,92.86,1.019,East
"2021-02-11 - Penguins 4, Islanders 3",55.666666666667,52.17,52.38,7.14,90.91,0.981,East
"2021-02-12 - Bruins 1, Rangers 0",41.183333333333,52.56,38.24,5.0,100.0,1.05,East
"2021-02-12 - Bruins 1, Rangers 0",41.183333333333,47.44,61.76,0.0,95.0,0.95,East
"2021-02-13 - Bruins 2, Islanders 4",51.833333333333,46.73,38.98,9.09,94.12,1.032,East
"2021-02-13 - Bruins 2, Islanders 4",51.833333333333,53.27,61.02,5.88,90.91,0.968,East
"2021-02-14 - Capitals 3, Penguins 6",51.2,49.41,45.24,10.0,91.67,1.017,East
"2021-02-14 - Capitals 3, Penguins 6",51.2,50.59,54.76,8.33,90.0,0.983,East
"2021-02-15 - Islanders 3, Sabres 1",51.266666666667,44.05,37.93,0.0,92.0,0.92,East
"2021-02-15 - Islanders 3, Sabres 1",51.266666666667,55.95,62.07,8.0,100.0,1.08,East
"2021-02-16 - Capitals 3, Penguins 1",44.966666666667,47.89,48.15,5.56,88.46,0.94,East
"2021-02-16 - Capitals 3, Penguins 1",44.966666666667,52.11,51.85,11.54,94.44,1.06,East
"2021-02-16 - Devils 5, Rangers 2",54.333333333333,51.67,56.16,8.57,94.12,1.027,East
"2021-02-16 - Devils 5, Rangers 2",54.333333333333,48.33,43.84,5.88,91.43,0.973,East
"2021-02-16 - Islanders 3, Sabres 0",49.116666666667,57.14,54.76,0.0,89.47,0.895,East
"2021-02-16 - Islanders 3, Sabres 0",49.116666666667,42.86,45.24,10.53,100.0,1.105,East
"2021-02-18 - Devils 3, Bruins 2",44.75,49.32,55.26,0.0,95.24,0.952,East
"2021-02-18 - Devils 3, Bruins 2",44.75,50.68,44.74,4.76,100.0,1.048,East
"2021-02-18 - Islanders 1, Penguins 4",46.833333333333,49.43,47.5,0.0,87.5,0.875,East
"2021-02-18 - Islanders 1, Penguins 4",46.833333333333,50.57,52.5,12.5,100.0,1.125,East
"2021-02-18 - Rangers 3, Flyers 2",44.416666666667,49.35,46.67,4.55,93.33,0.979,East
"2021-02-18 - Rangers 3, Flyers 2",44.416666666667,50.65,53.33,6.67,95.45,1.021,East
"2021-02-18 - Sabres 1, Capitals 3",68.2,48.78,44.74,0.0,94.12,0.941,East
"2021-02-18 - Sabres 1, Capitals 3",68.2,51.22,55.26,5.88,100.0,1.059,East
"2021-02-20 - Islanders 2, Penguins 3",56.2,57.78,56.25,6.25,87.5,0.938,East
"2021-02-20 - Islanders 2, Penguins 3",56.2,42.22,43.75,12.5,93.75,1.063,East
"2021-02-20 - Rangers 4, Capitals 1",42.7,46.67,48.78,10.53,95.45,1.06,East
"2021-02-20 - Rangers 4, Capitals 1",42.7,53.33,51.22,4.55,89.47,0.94,East
"2021-02-20 - Sabres 3, Devils 2",52.483333333333,50.0,52.63,7.41,95.45,1.029,East
"2021-02-20 - Sabres 3, Devils 2",52.483333333333,50.0,47.37,4.55,92.59,0.971,East
"2021-02-21 - Devils 3, Capitals 4",47.5,46.23,42.11,5.26,97.14,1.024,East
"2021-02-21 - Devils 3, Capitals 4",47.5,53.77,57.89,2.86,94.74,0.976,East
"2021-02-21 - Flyers 3, Bruins 7",50.766666666667,54.08,56.52,20.0,87.5,1.075,East
"2021-02-21 - Flyers 3, Bruins 7",50.766666666667,45.92,43.48,12.5,80.0,0.925,East
"2021-02-22 - Sabres 2, Islanders 3",48.95,48.19,44.68,4.35,90.48,0.948,East
"2021-02-22 - Sabres 2, Islanders 3",48.95,51.81,55.32,9.52,95.65,1.052,East
"2021-02-23 - Penguins 3, Capitals 2",52.716666666667,55.88,52.0,3.23,90.91,0.941,East
"2021-02-23 - Penguins 3, Capitals 2",52.716666666667,44.12,48.0,9.09,96.77,1.059,East
"2021-02-23 - Sabres 4, Devils 1",51.433333333333,47.12,53.06,6.25,100.0,1.063,East
"2021-02-23 - Sabres 4, Devils 1",51.433333333333,52.88,46.94,0.0,93.75,0.938,East
"2021-02-24 - Rangers 3, Flyers 4",40.283333333333,45.45,41.46,5.88,90.48,0.964,East
"2021-02-24 - Rangers 3, Flyers 4",40.283333333333,54.55,58.54,9.52,94.12,1.036,East
"2021-02-25 - Bruins 2, Islanders 7",51.8,50.52,50.91,5.71,80.65,0.864,East
"2021-02-25 - Bruins 2, Islanders 7",51.8,49.48,49.09,19.35,94.29,1.136,East
"2021-02-25 - Devils 4, Sabres 3",44.933333333333,40.45,26.67,4.35,93.94,0.983,East
"2021-02-25 - Devils 4, Sabres 3",44.933333333333,59.55,73.33,6.06,95.65,1.017,East
"2021-02-25 - Penguins 2, Capitals 5",45.2,40.22,42.86,4.76,92.86,0.976,East
"2021-02-25 - Penguins 2, Capitals 5",45.2,59.78,57.14,7.14,95.24,1.024,East
"2021-02-26 - Bruins 2, Rangers 6",45.833333333333,47.42,45.0,8.0,85.19,0.932,East
"2021-02-26 - Bruins 2, Rangers 6",45.833333333333,52.58,55.0,14.81,92.0,1.068,East
"2021-02-27 - Capitals 5, Devils 2",51.5,50.0,51.52,4.76,82.61,0.874,East
"2021-02-27 - Capitals 5, Devils 2",51.5,50.0,48.48,17.39,95.24,1.126,East
"2021-02-27 - Flyers 3, Sabres 0",49.1,45.98,50.0,0.0,90.32,0.903,East
"2021-02-27 - Flyers 3, Sabres 0",49.1,54.02,50.0,9.68,100.0,1.097,East
"2021-02-27 - Penguins 4, Islanders 3",50.9,51.02,54.55,9.09,90.48,0.996,East
"2021-02-27 - Penguins 4, Islanders 3",50.9,48.98,45.45,9.52,90.91,1.004,East
"2021-02-28 - Bruins 4, Rangers 1",52.75,58.06,54.05,5.88,94.44,1.003,East
"2021-02-28 - Bruins 4, Rangers 1",52.75,41.94,45.95,5.56,94.12,0.997,East
"2021-02-28 - Capitals 3, Devils 2",44.316666666667,54.67,51.61,12.5,85.71,0.982,East
"2021-02-28 - Capitals 3, Devils 2",44.316666666667,45.33,48.39,14.29,87.5,1.018,East
"2021-02-28 - Flyers 3, Sabres 0",49.016666666667,44.3,40.0,0.0,90.32,0.903,East
"2021-02-28 - Flyers 3, Sabres 0",49.016666666667,55.7,60.0,9.68,100.0,1.097,East
"2021-02-28 - Penguins 0, Islanders 2",46.216666666667,53.03,59.38,0.0,100.0,1.0,East
"2021-02-28 - Penguins 0, Islanders 2",46.216666666667,46.97,40.63,0.0,100.0,1.0,East
"2021-03-02 - Flyers 2, Penguins 5",45.5,60.47,50.0,6.9,78.95,0.858,East
"2021-03-02 - Flyers 2, Penguins 5",45.5,39.53,50.0,21.05,93.1,1.142,East
"2021-03-02 - Islanders 2, Devils 1",46.383333333333,50.67,44.12,0.0,88.89,0.889,East
"2021-03-02 - Islanders 2, Devils 1",46.383333333333,49.33,55.88,11.11,100.0,1.111,East
"2021-03-02 - Sabres 2, Rangers 3",52.65,63.22,60.0,10.53,82.35,0.929,East
"2021-03-02 - Sabres 2, Rangers 3",52.65,36.78,40.0,17.65,89.47,1.071,East
"2021-03-03 - Capitals 2, Bruins 1",51.033333333333,46.75,42.42,7.14,94.44,1.016,East
"2021-03-03 - Capitals 2, Bruins 1",51.033333333333,53.25,57.58,5.56,92.86,0.984,East
"2021-03-04 - Flyers 4, Penguins 3",50.266666666667,51.85,50.0,11.11,89.29,1.004,East
"2021-03-04 - Flyers 4, Penguins 3",50.266666666667,48.15,50.0,10.71,88.89,0.996,East
"2021-03-04 - Rangers 6, Devils 1",47.433333333333,65.88,72.22,3.23,72.22,0.754,East
"2021-03-04 - Rangers 6, Devils 1",47.433333333333,34.12,27.78,27.78,96.77,1.246,East
"2021-03-04 - Sabres 2, Islanders 5",51.5,41.67,32.56,6.25,85.71,0.92,East
"2021-03-04 - Sabres 2, Islanders 5",51.5,58.33,67.44,14.29,93.75,1.08,East
"2021-03-05 - Capitals 1, Bruins 5",48.966666666667,52.17,57.89,23.81,95.65,1.195,East
"2021-03-05 - Capitals 1, Bruins 5",48.966666666667,47.83,42.11,4.35,76.19,0.805,East
"2021-03-06 - Flyers 3, Penguins 4",43.283333333333,44.23,52.63,8.33,90.0,0.983,East
"2021-03-06 - Flyers 3, Penguins 4",43.283333333333,55.77,47.37,10.0,91.67,1.017,East
"2021-03-06 - Rangers 6, Devils 3",48.6,63.16,60.61,12.5,80.95,0.935,East
"2021-03-06 - Rangers 6, Devils 3",48.6,36.84,39.39,19.05,87.5,1.065,East
"2021-03-06 - Sabres 2, Islanders 5",58.0,48.96,50.82,10.0,82.76,0.928,East
"2021-03-06 - Sabres 2, Islanders 5",58.0,51.04,49.18,17.24,90.0,1.072,East
"2021-03-07 - Capitals 3, Flyers 1",43.466666666667,41.56,39.39,4.55,86.36,0.909,East
"2021-03-07 - Capitals 3, Flyers 1",43.466666666667,58.44,60.61,13.64,95.45,1.091,East
"2021-03-07 - Devils 1, Bruins 0",47.183333333333,54.12,45.71,0.0,95.24,0.952,East
"2021-03-07 - Devils 1, Bruins 0",47.183333333333,45.88,54.29,4.76,100.0,1.048,East
"2021-03-07 - Rangers 1, Penguins 5",52.066666666667,53.03,46.15,4.35,72.22,0.766,East
"2021-03-07 - Rangers 1, Penguins 5",52.066666666667,46.97,53.85,27.78,95.65,1.234,East
"2021-03-07 - Sabres 2, Islanders 5",53.75,51.14,42.55,8.0,86.21,0.942,East
"2021-03-07 - Sabres 2, Islanders 5",53.75,48.86,57.45,13.79,92.0,1.058,East
"2021-03-09 - Bruins 1, Islanders 2",53.516666666667,50.56,48.94,0.0,100.0,1.0,East
"2021-03-09 - Bruins 1, Islanders 2",53.516666666667,49.44,51.06,0.0,100.0,1.0,East
"2021-03-09 - Devils 4, Capitals 5",47.05,43.37,47.5,16.0,91.67,1.077,East
"2021-03-09 - Devils 4, Capitals 5",47.05,56.63,52.5,8.33,84.0,0.923,East
"2021-03-09 - Rangers 2, Penguins 4",52.3,59.09,66.67,3.85,90.0,0.938,East
"2021-03-09 - Rangers 2, Penguins 4",52.3,40.91,33.33,10.0,96.15,1.062,East
"2021-03-09 - Sabres 4, Flyers 5",48.65,33.33,30.61,23.53,88.46,1.12,East
"2021-03-09 - Sabres 4, Flyers 5",48.65,66.67,69.39,11.54,76.47,0.88,East
"2021-03-11 - Capitals 5, Flyers 3",46.016666666667,63.49,47.37,4.0,73.33,0.773,East
"2021-03-11 - Capitals 5, Flyers 3",46.016666666667,36.51,52.63,26.67,96.0,1.227,East
"2021-03-11 - Devils 3, Islanders 5",48.066666666667,45.45,34.15,14.29,81.48,0.958,East
"2021-03-11 - Devils 3, Islanders 5",48.066666666667,54.55,65.85,18.52,85.71,1.042,East
"2021-03-11 - Penguins 5, Sabres 2",51.466666666667,43.84,52.0,10.53,87.5,0.98,East
"2021-03-11 - Penguins 5, Sabres 2",51.466666666667,56.16,48.0,12.5,89.47,1.02,East
"2021-03-11 - Rangers 0, Bruins 4",48.35,40.7,41.18,8.7,100.0,1.087,East
"2021-03-11 - Rangers 0, Bruins 4",48.35,59.3,58.82,0.0,91.3,0.913,East
"2021-03-13 - Capitals 5, Flyers 4",48.933333333333,57.83,57.58,8.0,77.78,0.858,East
"2021-03-13 - Capitals 5, Flyers 4",48.933333333333,42.17,42.42,22.22,92.0,1.142,East
"2021-03-13 - Islanders 3, Devils 2",44.216666666667,58.9,54.05,10.53,85.0,0.955,East
"2021-03-13 - Islanders 3, Devils 2",44.216666666667,41.1,45.95,15.0,89.47,1.045,East
"2021-03-13 - Penguins 3, Sabres 0",52.166666666667,48.81,48.65,0.0,100.0,1.0,East
"2021-03-13 - Penguins 3, Sabres 0",52.166666666667,51.19,51.35,0.0,100.0,1.0,East
"2021-03-13 - Rangers 4, Bruins 0",40.75,38.71,30.77,0.0,80.95,0.81,East
"2021-03-13 - Rangers 4, Bruins 0",40.75,61.29,69.23,19.05,100.0,1.19,East
"2021-03-14 - Islanders 3, Devils 2",47.05,46.15,38.71,4.0,92.31,0.963,East
"2021-03-14 - Islanders 3, Devils 2",47.05,53.85,61.29,7.69,96.0,1.037,East
"2021-03-15 - Bruins 1, Penguins 4",45.4,59.55,50.0,0.0,88.89,0.889,East
"2021-03-15 - Bruins 1, Penguins 4",45.4,40.45,50.0,11.11,100.0,1.111,East
"2021-03-15 - Capitals 6, Sabres 0",54.0,52.75,57.5,0.0,76.92,0.769,East
"2021-03-15 - Capitals 6, Sabres 0",54.0,47.25,42.5,23.08,100.0,1.231,East
"2021-03-15 - Flyers 5, Rangers 4",46.216666666667,57.14,64.71,21.05,90.48,1.115,East
"2021-03-15 - Flyers 5, Rangers 4",46.216666666667,42.86,35.29,9.52,78.95,0.885,East
"2021-03-16 - Bruins 2, Penguins 1",41.466666666667,59.04,51.43,3.85,95.65,0.995,East
"2021-03-16 - Bruins 2, Penguins 1",41.466666666667,40.96,48.57,4.35,96.15,1.005,East
"2021-03-16 - Islanders 1, Capitals 3",48.966666666667,54.76,65.71,0.0,94.74,0.947,East
"2021-03-16 - Islanders 1, Capitals 3",48.966666666667,45.24,34.29,5.26,100.0,1.053,East
"2021-03-16 - Sabres 2, Devils 3",43.433333333333,48.05,48.78,7.69,91.67,0.994,East
"2021-03-16 - Sabres 2, Devils 3",43.433333333333,51.95,51.22,8.33,92.31,1.006,East
"2021-03-17 - Flyers 0, Rangers 9",50.216666666667,45.68,53.66,30.43,100.0,1.304,East
"2021-03-17 - Flyers 0, Rangers 9",50.216666666667,54.32,46.34,0.0,69.57,0.696,East
"2021-03-18 - Bruins 4, Sabres 1",48.9,50.0,50.0,7.14,100.0,1.071,East
"2021-03-18 - Bruins 4, Sabres 1",48.9,50.0,50.0,0.0,92.86,0.929,East
"2021-03-18 - Flyers 4, Islanders 3",47.883333333333,41.03,42.86,20.0,84.0,1.04,East
"2021-03-18 - Flyers 4, Islanders 3",47.883333333333,58.97,57.14,16.0,80.0,0.96,East
"2021-03-18 - Penguins 2, Devils 3",54.633333333333,51.64,50.0,5.88,100.0,1.059,East
"2021-03-18 - Penguins 2, Devils 3",54.633333333333,48.36,50.0,0.0,94.12,0.941,East
"2021-03-19 - Rangers 1, Capitals 2",49.866666666667,52.08,47.62,0.0,88.89,0.889,East
"2021-03-19 - Rangers 1, Capitals 2",49.866666666667,47.92,52.38,11.11,100.0,1.111,East
"2021-03-20 - Flyers 1, Islanders 6",49.916666666667,56.63,63.64,19.23,95.0,1.142,East
"2021-03-20 - Flyers 1, Islanders 6",49.916666666667,43.37,36.36,5.0,80.77,0.858,East
"2021-03-20 - Penguins 3, Devils 1",44.016666666667,50.0,46.67,5.88,92.86,0.987,East
"2021-03-20 - Penguins 3, Devils 1",44.016666666667,50.0,53.33,7.14,94.12,1.013,East
"2021-03-20 - Rangers 3, Capitals 1",44.2,36.14,36.84,10.0,95.65,1.057,East
"2021-03-20 - Rangers 3, Capitals 1",44.2,63.86,63.16,4.35,90.0,0.943,East
"2021-03-21 - Devils 2, Penguins 1",51.966666666667,51.65,53.33,3.33,96.3,0.996,East
"2021-03-21 - Devils 2, Penguins 1",51.966666666667,48.35,46.67,3.7,96.67,1.004,East
"2021-03-22 - Islanders 2, Flyers 1",54.183333333333,38.71,45.24,7.14,97.14,1.043,East
"2021-03-22 - Islanders 2, Flyers 1",54.183333333333,61.29,54.76,2.86,92.86,0.957,East
"2021-03-22 - Sabres 3, Rangers 5",52.966666666667,40.91,46.81,18.75,93.1,1.119,East
"2021-03-22 - Sabres 3, Rangers 5",52.966666666667,59.09,53.19,6.9,81.25,0.881,East
"2021-03-23 - Devils 4, Flyers 3",45.133333333333,53.85,60.98,13.04,94.44,1.075,East
"2021-03-23 - Devils 4, Flyers 3",45.133333333333,46.15,39.02,5.56,86.96,0.925,East
"2021-03-24 - Sabres 2, Penguins 5",44.766666666667,42.86,27.5,4.0,90.0,0.94,East
"2021-03-24 - Sabres 2, Penguins 5",44.766666666667,57.14,72.5,10.0,96.0,1.06,East
"2021-03-25 - Devils 3, Capitals 4",49.333333333333,49.44,45.24,10.0,78.95,0.889,East
"2021-03-25 - Devils 3, Capitals 4",49.333333333333,50.56,54.76,21.05,90.0,1.111,East
"2021-03-25 - Islanders 4, Bruins 3",49.6,58.75,58.54,7.41,85.0,0.924,East
"2021-03-25 - Islanders 4, Bruins 3",49.6,41.25,41.46,15.0,92.59,1.076,East
"2021-03-25 - Rangers 8, Flyers 3",45.316666666667,38.36,40.54,26.67,96.67,1.233,East
"2021-03-25 - Rangers 8, Flyers 3",45.316666666667,61.64,59.46,3.33,73.33,0.767,East
"2021-03-25 - Sabres 0, Penguins 4",45.916666666667,54.17,46.15,0.0,95.83,0.958,East
"2021-03-25 - Sabres 0, Penguins 4",45.916666666667,45.83,53.85,4.17,100.0,1.042,East
"2021-03-26 - Devils 0, Capitals 4",49.416666666667,51.22,45.45,0.0,84.0,0.84,East
"2021-03-26 - Devils 0, Capitals 4",49.416666666667,48.78,54.55,16.0,100.0,1.16,East
"2021-03-27 - Islanders 3, Penguins 6",47.4,50.0,38.71,8.0,81.25,0.893,East
"2021-03-27 - Islanders 3, Penguins 6",47.4,50.0,61.29,18.75,92.0,1.108,East
"2021-03-27 - Rangers 1, Flyers 2",46.366666666667,39.76,42.42,0.0,96.67,0.967,East
"2021-03-27 - Rangers 1, Flyers 2",46.366666666667,60.24,57.58,3.33,100.0,1.033,East
"2021-03-27 - Sabres 2, Bruins 3",44.833333333333,56.1,58.33,7.14,95.0,1.021,East
"2021-03-27 - Sabres 2, Bruins 3",44.833333333333,43.9,41.67,5.0,92.86,0.979,East
"2021-03-28 - Devils 1, Bruins 0",41.316666666667,54.88,53.85,0.0,95.24,0.952,East
"2021-03-28 - Devils 1, Bruins 0",41.316666666667,45.12,46.15,4.76,100.0,1.048,East
"2021-03-28 - Rangers 4, Capitals 5",45.55,56.0,51.16,16.67,75.0,0.917,East
"2021-03-28 - Rangers 4, Capitals 5",45.55,44.0,48.84,25.0,83.33,1.083,East
"2021-03-29 - Flyers 4, Sabres 3",50.183333333333,44.33,48.65,10.34,93.1,1.034,East
"2021-03-29 - Flyers 4, Sabres 3",50.183333333333,55.67,51.35,6.9,89.66,0.966,East
"2021-03-29 - Islanders 1, Penguins 2",49.1,48.61,55.88,0.0,100.0,1.0,East
"2021-03-29 - Islanders 1, Penguins 2",49.1,51.39,44.12,0.0,100.0,1.0,East
"2021-03-30 - Capitals 2, Rangers 5",51.016666666667,48.68,43.24,17.39,96.0,1.134,East
"2021-03-30 - Capitals 2, Rangers 5",51.016666666667,51.32,56.76,4.0,82.61,0.866,East
