Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-01-31 - Panthers 3, Red Wings 2",42.883333333333,43.94,50.0,5.0,100.0,1.05,Central
"2021-01-31 - Panthers 3, Red Wings 2",42.883333333333,56.06,50.0,0.0,95.0,0.95,Central
"2021-01-31 - Stars 3, Hurricanes 4",42.2,55.56,44.44,4.0,84.21,0.882,Central
"2021-01-31 - Stars 3, Hurricanes 4",42.2,44.44,55.56,15.79,96.0,1.118,Central
"2021-02-01 - Predators 2, Lightning 5",44.583333333333,53.66,47.83,7.69,85.0,0.927,Central
"2021-02-01 - Predators 2, Lightning 5",44.583333333333,46.34,52.17,15.0,92.31,1.073,Central
"2021-02-02 - Hurricanes 4, Blackhawks 3",54.483333333333,58.33,58.82,8.57,92.86,1.014,Central
"2021-02-02 - Hurricanes 4, Blackhawks 3",54.483333333333,41.67,41.18,7.14,91.43,0.986,Central
"2021-02-02 - Stars 6, Blue Jackets 3",48.3,49.37,46.88,9.52,88.46,0.98,Central
"2021-02-02 - Stars 6, Blue Jackets 3",48.3,50.63,53.13,11.54,90.48,1.02,Central
"2021-02-03 - Red Wings 1, Lightning 5",45.2,44.0,45.24,7.14,81.82,0.89,Central
"2021-02-03 - Red Wings 1, Lightning 5",45.2,56.0,54.76,18.18,92.86,1.11,Central
"2021-02-04 - Hurricanes 4, Blackhawks 6",44.683333333333,55.56,52.17,14.29,90.91,1.052,Central
"2021-02-04 - Hurricanes 4, Blackhawks 6",44.683333333333,44.44,47.83,9.09,85.71,0.948,Central
"2021-02-04 - Predators 6, Panthers 5",46.7,51.11,57.14,9.68,91.67,1.013,Central
"2021-02-04 - Predators 6, Panthers 5",46.7,48.89,42.86,8.33,90.32,0.987,Central
"2021-02-04 - Stars 3, Blue Jackets 4",49.5,40.23,32.56,18.18,90.91,1.091,Central
"2021-02-04 - Stars 3, Blue Jackets 4",49.5,59.77,67.44,9.09,81.82,0.909,Central
"2021-02-05 - Predators 1, Panthers 2",52.766666666667,48.08,56.1,7.41,95.83,1.032,Central
"2021-02-05 - Predators 1, Panthers 2",52.766666666667,51.92,43.9,4.17,92.59,0.968,Central
"2021-02-05 - Red Wings 1, Lightning 3",49.616666666667,49.3,62.79,4.17,90.91,0.951,Central
"2021-02-05 - Red Wings 1, Lightning 3",49.616666666667,50.7,37.21,9.09,95.83,1.049,Central
"2021-02-07 - Blackhawks 2, Stars 1",45.466666666667,44.87,50.0,0.0,95.45,0.955,Central
"2021-02-07 - Blackhawks 2, Stars 1",45.466666666667,55.13,50.0,4.55,100.0,1.045,Central
"2021-02-07 - Hurricanes 6, Blue Jackets 5",46.45,62.86,60.53,20.83,80.0,1.008,Central
"2021-02-07 - Hurricanes 6, Blue Jackets 5",46.45,37.14,39.47,20.0,79.17,0.992,Central
