Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-01-30 - Maple Leafs 3, Oilers 4",54.483333333333,42.86,42.11,8.33,92.31,1.006,North
"2021-01-31 - Senators 5, Oilers 8",45.0,36.05,44.19,21.05,90.32,1.114,North
"2021-01-31 - Senators 5, Oilers 8",45.0,63.95,55.81,9.68,78.95,0.886,North
"2021-02-01 - Canucks 2, Canadiens 6",48.783333333333,56.04,53.85,11.76,91.67,1.034,North
"2021-02-01 - Canucks 2, Canadiens 6",48.783333333333,43.96,46.15,8.33,88.24,0.966,North
"2021-02-01 - Flames 4, Jets 3",46.166666666667,58.23,64.44,15.0,100.0,1.15,North
"2021-02-01 - Flames 4, Jets 3",46.166666666667,41.77,35.56,0.0,85.0,0.85,North
"2021-02-02 - Canucks 3, Canadiens 5",44.833333333333,53.49,55.56,15.38,96.43,1.118,North
"2021-02-02 - Canucks 3, Canadiens 5",44.833333333333,46.51,44.44,3.57,84.62,0.882,North
"2021-02-02 - Flames 2, Jets 3",47.4,53.26,54.76,8.7,92.0,1.007,North
"2021-02-02 - Flames 2, Jets 3",47.4,46.74,45.24,8.0,91.3,0.993,North
"2021-02-02 - Senators 2, Oilers 4",45.883333333333,50.53,51.61,18.18,90.48,1.087,North
"2021-02-02 - Senators 2, Oilers 4",45.883333333333,49.47,48.39,9.52,81.82,0.913,North
"2021-02-04 - Canucks 3, Maple Leafs 7",48.15,62.86,67.44,20.69,88.24,1.089,North
"2021-02-04 - Canucks 3, Maple Leafs 7",48.15,37.14,32.56,11.76,79.31,0.911,North
"2021-02-04 - Flames 1, Jets 4",44.75,48.72,46.88,5.26,86.36,0.916,North
"2021-02-04 - Flames 1, Jets 4",44.75,51.28,53.13,13.64,94.74,1.084,North
"2021-02-04 - Senators 3, Canadiens 2",48.566666666667,57.89,62.0,3.57,89.47,0.93,North
"2021-02-04 - Senators 3, Canadiens 2",48.566666666667,42.11,38.0,10.53,96.43,1.07,North
"2021-02-06 - Canadiens 2, Senators 1",46.1,41.67,45.71,4.0,100.0,1.04,North
"2021-02-06 - Canadiens 2, Senators 1",46.1,58.33,54.29,0.0,96.0,0.96,North
"2021-02-06 - Canucks 1, Maple Leafs 5",44.95,55.0,63.27,16.0,100.0,1.16,North
"2021-02-06 - Canucks 1, Maple Leafs 5",44.95,45.0,36.73,0.0,84.0,0.84,North
"2021-02-06 - Oilers 4, Flames 6",42.233333333333,49.35,56.25,21.74,89.47,1.112,North
"2021-02-06 - Oilers 4, Flames 6",42.233333333333,50.65,43.75,10.53,78.26,0.888,North
"2021-02-08 - Canucks 1, Maple Leafs 3",46.616666666667,44.59,37.84,18.75,100.0,1.188,North
"2021-02-08 - Canucks 1, Maple Leafs 3",46.616666666667,55.41,62.16,0.0,81.25,0.813,North
"2021-02-08 - Oilers 3, Senators 1",47.15,56.04,59.52,7.14,95.45,1.026,North
